Commodities,Currency crosses,cryptos
US Soybean Oil,AED/XOF,Decentraland
US Soybean Meal,ARS/AED,Nexo
US Soybeans,AUD/AED,UMA
US Wheat,BRL/AED,Ethereum Classic
US Corn,CNY/AED,Bancor
Oats,HKD/AED,SwissBorg
_,ILS/AED,THORChain
_,MXN/AED,yearn.finance
_,NOK/AED,Holo
_,NZD/AED,Reserve Rights
_,PLN/AED,ICON
_,RUB/AED,Celsius
_,SAR/AED,0x
_,SEK/AED,Waves
_,SGD/AED,Fantom
_,THB/AED,Ren
_,TRY/AED,Siacoin
_,TWD/AED,Revain
_,VES/AED,Voyager Token
_,ZAR/AED,Ontology
_,AED/KWD,DigiByte
_,EGP/AED,Dent
_,KWD/AED,OKB
_,JOD/AED,IOST
_,EUR/AFN,OMG Network
_,USD/AFN,Paxos Standard
_,AFN/USD,Celo
_,EUR/ALL,1inch
_,GBP/ALL,Nano
_,USD/ALL,Nano
_,USD/AMD,Qtum
_,EUR/AMD,Loopring
_,RUB/AMD,Ocean Protocol
_,AMD/RUB,Curve DAO Token
_,EUR/ANG,Kyber Network
_,USD/ANG,Horizen
_,USD/AOA,MVL
_,EUR/AOA,Bitcoin Gold
_,ARS/BRL,Lisk
_,ARS/HKD,Verge
_,ARS/JPY,Fetch.ai
_,ARS/MXN,Energy Web Token
_,AUD/ARS,Quant
_,BRL/ARS,Ankr
_,CAD/ARS,Golem
_,CHF/ARS,Bitpanda Ecosystem Token
_,EUR/ARS,Electroneum
_,GBP/ARS,Celer Network
_,HKD/ARS,StormX
_,JPY/ARS,Augur
_,SGD/ARS,Mixin
_,USD/ARS,IoTeX
_,ARS/AUD,Venus
_,ARS/CAD,FunFair
_,ARS/CHF,Status
_,ARS/CLP,WAX
_,ARS/CNY,Telcoin
_,ARS/CZK,Kin
_,ARS/DKK,COTI
_,ARS/EUR,Stacks
_,ARS/GBP,Kava.io
_,ARS/HUF,Polymath
_,ARS/ILS,Swipe
_,ARS/INR,MaidSafeCoin
_,ARS/ISK,Civic
_,ARS/KRW,TrueUSD
_,ARS/MAD,Band Protocol
_,ARS/NOK,Ardor
_,ARS/NZD,Steem
_,ARS/PHP,Orchid
_,ARS/PKR,Aragon
_,ARS/PLN,QuarkChain
_,ARS/RUB,OriginTrail
_,ARS/SAR,Utrust
_,ARS/SEK,Serum
_,ARS/SGD,MediBloc
_,ARS/THB,Hifi Finance
_,ARS/TRY,Storj
_,ARS/USD,Origin Protocol
_,ARS/VES,BitShares
_,ARS/XAF,Numeraire
_,ARS/XCD,Komodo
_,ARS/ZAR,Bitcoin Diamond
_,ARS/BBD,Ampleforth
_,ARS/BHD,SingularityNET
_,ARS/JOD,Gnosis
_,ARS/NAD,Stratis
_,ARS/OMR,Ark
_,ARS/QAR,TomoChain
_,ARS/JMD,IRISnet
_,ARS/KES,PAC Global
_,ARS/LKR,Wanchain
_,ARS/RON,ABBC Coin
_,ARS/LBP,district0x
_,ARS/NPR,aelf
_,ARS/PAB,Syscoin
_,ARS/EGP,ZB Token
_,ARS/IDR,CyberVein
_,ARS/MYR,iExec RLC
_,ARS/XOF,Loom Network
_,ARS/TWD,Haven Protocol
_,CNY/ARS,Power Ledger
_,DKK/ARS,Unibright
_,ILS/ARS,Hellenic Coin
_,MXN/ARS,Populous
_,NOK/ARS,Bytom
_,NZD/ARS,AdEx Network
_,PLN/ARS,Divi
_,RUB/ARS,Centrality
_,SAR/ARS,Request
_,SEK/ARS,EFFORCE
_,THB/ARS,ReddCoin
_,TRY/ARS,Aion
_,TWD/ARS,Gas
_,VES/ARS,Elastos
_,ZAR/ARS,LBRY Credits
_,ARS/PYG,Energi
_,ARS/UYU,Streamr
_,ARS/COP,MonaCoin
_,ARS/PEN,WazirX
_,ARS/BOB,Gemini Dollar
_,CLP/ARS,Metal
_,PYG/ARS,Refereum
_,UYU/ARS,Selfkey
_,COP/ARS,SOLVE
_,PEN/ARS,Ignis
_,BOB/ARS,Zenon
_,AUD/USD,Nimiq
_,EUR/AUD,Waltonchain
_,AUD/CAD,NKN
_,AUD/CHF,DREP
_,AUD/JPY,Beam
_,AUD/NZD,Bytecoin
_,GBP/AUD,Bluzelle
_,AUD/PLN,Cartesi
_,AUD/NOK,Sentinel Protocol
_,AUD/ZAR,Nexus
_,AUD/SGD,KuCoin Shares
_,AUD/THB,Firo
_,AUD/SEK,ARPA Chain
_,AUD/CZK,AirSwap
_,AUD/DKK,Endor Protocol
_,AUD/HKD,NULS
_,AUD/BRL,Function X
_,AUD/CNY,WaykiChain
_,AUD/EUR,PIVX
_,AUD/FJD,RChain
_,AUD/GBP,Constellation
_,AUD/HUF,Switcheo
_,AUD/IDR,Phoenix Global
_,AUD/ILS,Dragonchain
_,AUD/INR,pNetwork
_,AUD/KRW,Fusion
_,AUD/MXN,Groestlcoin
_,AUD/MYR,Quantstamp
_,AUD/PKR,Cindicator
_,AUD/TWD,FIO Protocol
_,BRL/AUD,Cortex
_,CAD/AUD,Ripio Credit Network
_,CHF/AUD,Cocos-BCX
_,JPY/AUD,Sport and Leisure
_,NZD/AUD,Measurable Data Token
_,SGD/AUD,Einsteinium
_,USD/AUD,v.systems
_,AUD/CLP,Aeternity
_,AUD/ISK,GameCredits
_,AUD/MAD,Aurora
_,AUD/PHP,Zap
_,AUD/RUB,GXChain
_,AUD/SAR,VITE
_,AUD/TRY,Enzyme Finance
_,AUD/VES,LockTrip
_,AUD/XAF,Lympo
_,AUD/XCD,STASIS EURO
_,AUD/BBD,Dock
_,AUD/BHD,Kleros
_,AUD/JOD,Nebulas
_,AUD/NAD,GoChain
_,AUD/OMR,MCO
_,AUD/QAR,Navcoin
_,AUD/JMD,Propy
_,AUD/KES,Skycoin
_,AUD/LKR,CasinoCoin
_,AUD/RON,Dentacoin
_,AUD/LBP,HyperCash
_,AUD/NPR,BTU Protocol
_,AUD/PAB,DMarket
_,AUD/EGP,Mithril
_,AUD/XOF,Nxt
_,CNY/AUD,Phantasma
_,DKK/AUD,LATOKEN
_,HKD/AUD,0Chain
_,ILS/AUD,Steem Dollars
_,MXN/AUD,Wirex Token
_,NOK/AUD,Flexacoin
_,PLN/AUD,Sentivate
_,SAR/AUD,All Sports
_,SEK/AUD,Neblio
_,THB/AUD,Apollo Currency
_,TRY/AUD,Crypterium
_,TWD/AUD,Grin
_,VES/AUD,Project Pai
_,ZAR/AUD,Presearch
_,RUB/AUD,Vertcoin
_,KRW/AUD,Wabi
_,AUD/HRK,Veritaseum
_,AUD/BYN,Nucleus Vision
_,AUD/UAH,Ambrosus
_,IDR/AUD,TenX
_,AUD/RUB,Raiden Network Token
_,USD/AZN,TokenClub
_,EUR/AZN,BnkToTheFuture
_,AZN/RUB,Bankera
_,RUB/AZN,DigixDAO
_,AZN/RUB,Dovu
_,EUR/BAM,#MetaHash
_,EUR/BBD,TE-FOOD
_,GBP/BBD,Gifto
_,USD/BBD,PCHAIN
_,BRL/BBD,Circuits of Value
_,CAD/BBD,Credits
_,CNY/BBD,AppCoins
_,CHF/BBD,Bread
_,DKK/BBD,QASH
_,HKD/BBD,Metronome
_,ILS/BBD,Genesis Vision
_,MXN/BBD,OAX
_,NOK/BBD,DeepBrain Chain
_,NZD/BBD,Loki
_,PLN/BBD,High Performance Blockchain
_,SAR/BBD,BABB
_,SEK/BBD,Dero
_,SGD/BBD,POA
_,TRY/BBD,SIRIN LABS Token
_,TWD/BBD,Digitex Futures
_,VES/BBD,QLC Chain
_,ZAR/BBD,LGO Token
_,EUR/BDT,WePower
_,GBP/BDT,Blox
_,USD/BDT,PumaPay
_,CHF/BGN,Obyte
_,DKK/BGN,Dynamic
_,EUR/BGN,XYO
_,GBP/BGN,Blocknet
_,USD/BGN,Buggyra Coin Zero
_,ILS/BGN,Namecoin
_,RUB/BGN,Moeda Loyalty Points
_,BGN/RUB,Matrix AI Network
_,BGN/RUB,SALT
_,BHD/EUR,Quantum Resistant Ledger
_,BHD/PKR,Cardstack
_,EUR/BHD,CyberMiles
_,GBP/BHD,TrueChain
_,USD/BHD,Egretia
_,BRL/BHD,Metaverse ETP
_,CAD/BHD,Factom
_,CNY/BHD,Maximine Coin
_,CHF/BHD,Hydro Protocol
_,DKK/BHD,Viacoin
_,HKD/BHD,Everex
_,ILS/BHD,YOYOW
_,NOK/BHD,Viberate
_,NZD/BHD,Tachyon Protocol
_,PLN/BHD,Agrello
_,SAR/BHD,MediShares
_,SEK/BHD,Ruff
_,SGD/BHD,FLO
_,THB/BHD,ProximaX
_,TRY/BHD,Monetha
_,TWD/BHD,Achain
_,VES/BHD,SONM
_,ZAR/BHD,SingularDTV
_,BHD/INR,DigitalNote
_,EUR/BIF,Arcblock
_,GBP/BIF,PRIZM
_,USD/BIF,Ubiq
_,BND/GBP,PressOne
_,EUR/BND,BLOCKv
_,GBP/BND,B2BX
_,USD/BND,DATA
_,EUR/BOB,Peercoin
_,USD/BOB,IQeon
_,BRL/BOB,Banano
_,BOB/BRL,THEKEY
_,CLP/BOB,eBoost
_,BOB/CLP,Santiment Network Token
_,PYG/BOB,ROOBEE
_,BOB/PYG,Phore
_,BOB/UYU,Genaro Network
_,COP/BOB,SmartMesh
_,BOB/COP,Essentia
_,PEN/BOB,PlatonCoin
_,BOB/PEN,Callisto Network
_,UYU/BOB,OneLedger
_,BOB/MXN,Internxt
_,MXN/BOB,Bibox Token
_,VES/BOB,Restart Energy MWAT
_,BOB/VES,Stealthcoin
_,BOB/USD,IoT Chain
_,BRL/CAD,Seele-N
_,BRL/CHF,SwftCoin
_,BRL/CLP,Monolith
_,BRL/DKK,Peculium
_,BRL/HKD,Odyssey
_,BRL/JPY,Time New Bank
_,BRL/MXN,DAOstack
_,BRL/SGD,Pillar
_,BRL/USD,Covesting
_,CAD/BRL,carVertical
_,CHF/BRL,Qubitica
_,EUR/BRL,SmartCash
_,GBP/BRL,Burst
_,JPY/BRL,Spectre.ai Dividend Token
_,SGD/BRL,Tokenomy
_,USD/BRL,SpaceChain
_,BRL/CNY,UCA Coin
_,BRL/CZK,Particl
_,BRL/EGP,Mobius
_,BRL/EUR,Wings
_,BRL/GBP,Content Neutrality Network
_,BRL/HUF,eBitcoin
_,BRL/IDR,Feathercoin
_,BRL/ILS,Aeon
_,BRL/INR,Lightning Bitcoin
_,BRL/ISK,VIBE
_,BRL/JMD,Opacity
_,BRL/JOD,CPChain
_,BRL/KES,PotCoin
_,BRL/KRW,Lamden
_,BRL/LBP,Mysterium
_,BRL/LKR,Gulden
_,BRL/MAD,Skrumble Network
_,BRL/MYR,Credo
_,BRL/NAD,DOC.COM
_,BRL/NOK,ERC20
_,BRL/NPR,EDUCare
_,BRL/NZD,Game.com
_,BRL/OMR,Remme
_,BRL/PAB,SunContract
_,BRL/PHP,Cred
_,BRL/PKR,INT
_,BRL/PLN,Myriad
_,BRL/QAR,I/O Coin
_,BRL/RON,ContentBox
_,BRL/RUB,LiteDoge
_,BRL/SAR,Ivy
_,BRL/SEK,Cappasity
_,BRL/THB,Litecoin Cash
_,BRL/TRY,Swarm
_,BRL/VES,DEX
_,BRL/XAF,AXPR
_,BRL/XCD,Datum
_,BRL/XOF,Investcoin
_,BRL/ZAR,Vexanium
_,BRL/TWD,CryptoPing
_,CNY/BRL,DECOIN
_,DKK/BRL,Crown
_,HKD/BRL,Acute Angle Cloud
_,ILS/BRL,ChatCoin
_,MXN/BRL,BitGreen
_,NOK/BRL,YEE
_,NZD/BRL,Omni
_,PLN/BRL,BlackCoin
_,SAR/BRL,ToaCoin
_,SEK/BRL,EXRNchain
_,THB/BRL,KickToken
_,TRY/BRL,Gridcoin
_,TWD/BRL,QunQun
_,VES/BRL,OKCash
_,ZAR/BRL,CannabisCoin
_,BRL/PYG,DAEX
_,BRL/UYU,DMM: Governance
_,BRL/COP,Cube
_,BRL/PEN,Add.xyz
_,CLP/BRL,Substratum
_,PYG/BRL,Pinkcoin
_,UYU/BRL,Alphacat
_,COP/BRL,CoTrader
_,PEN/BRL,BitCapitalVendor
_,RUB/BRL,DeepOnion
_,INR/BRL,Novacoin
_,USD/BRL,Primecoin
_,BRL/RUB,OneRoot Network
_,USD/BRLT,Energo
_,BSD/GBP,Medicalchain
_,EUR/BSD,Rialto
_,GBP/BSD,Tierion
_,USD/BSD,VeriCoin
_,BWP/ZAR,BitcoinZ
_,EUR/BWP,Enigma
_,GBP/BWP,MyWish
_,USD/BWP,Blackmoon
_,ZAR/BWP,Patientory
_,EUR/BYN,Breezecoin
_,USD/BYN,LuckChain
_,GBP/BYN,Quark
_,RUB/BYN,Pascal
_,CHF/BYN,Plair
_,CAD/BYN,Curecoin
_,NZD/BYN,MobileGo
_,JPY/BYN,Denarius
_,CNY/BYN,Dimecoin
_,BYN/USD,IHT Real Estate Protocol
_,BYN/EUR,CommerceBlock
_,BYN/RUB,NuBits
_,BYN/RUB,Expanse
_,EUR/BZD,Eternity
_,USD/BZD,AI Doctor
_,USD/CAD,HempCoin
_,CAD/CHF,HiCoin
_,EUR/CAD,CEEK VR
_,CAD/JPY,ZClassic
_,GBP/CAD,TransferCoin
_,NZD/CAD,LUXCoin
_,CAD/PLN,Rise
_,CAD/DKK,Asch
_,CAD/NOK,PayPie
_,CAD/SGD,DAPS Coin
_,CAD/SEK,Giga Watt Token
_,CAD/HKD,Bean Cash
_,CAD/CNY,Primas
_,CAD/EUR,Bismuth
_,CAD/GBP,LNX Protocol
_,CAD/IDR,MonetaryUnit
_,CAD/ILS,Sharder
_,CAD/INR,Waves Community Token
_,CAD/KRW,Zero
_,CAD/KWD,Bitcoin Private
_,CAD/MXN,eosDAC
_,CAD/MYR,Aventus
_,CAD/NZD,TrueFlip
_,CAD/PKR,ATLANT
_,CAD/THB,FujiCoin
_,CAD/TWD,BitBoost
_,CAD/USD,Banca
_,CAD/ZAR,Renewable Electronic Energy Coin
_,CHF/CAD,Xaurum
_,IDR/CAD,Hedge
_,JPY/CAD,CoinFi
_,SGD/CAD,0xBitcoin
_,CAD/CLP,CloakCoin
_,CAD/CZK,XTRABYTES
_,CAD/EGP,EDC Blockchain
_,CAD/HUF,TrezarCoin
_,CAD/ISK,Capricoin+
_,CAD/JMD,TraDove B2BCoin
_,CAD/JOD,Humaniq
_,CAD/KES,Bottos
_,CAD/LBP,Maecenas
_,CAD/LKR,Mercury
_,CAD/MAD,Lunyr
_,CAD/NAD,Megacoin
_,CAD/NPR,GeoCoin
_,CAD/OMR,FNKOS
_,CAD/PAB,Adshares
_,CAD/PHP,REAL
_,CAD/QAR,Ixcoin
_,CAD/RON,ZrCoin
_,CAD/RUB,Carboncoin
_,CAD/SAR,The ChampCoin
_,CAD/TRY,GPU Coin
_,CAD/VES,Dragon Coins
_,CAD/XAF,GlobalBoost-Y
_,CAD/XCD,Etherparty
_,CAD/XOF,Bitcoin Plus
_,CNY/CAD,Pakcoin
_,DKK/CAD,DomRaider
_,HKD/CAD,Trollcoin
_,ILS/CAD,Freicoin
_,MXN/CAD,Pandacoin
_,NOK/CAD,adToken
_,PLN/CAD,Boolberry
_,SAR/CAD,Flixxo
_,SEK/CAD,DECENT
_,TRY/CAD,Brickblock
_,TWD/CAD,Playkey
_,VES/CAD,Cosmo Coin
_,ZAR/CAD,LanaCoin
_,RUB/CAD,IXT
_,KRW/CAD,Bitcoin Atom
_,CAD/UAH,ShipChain
_,CAD/COP,EuropeCoin
_,CAD/RUB,Stox
_,USD/CHF,Bounty0x
_,EUR/CHF,Scry.info
_,GBP/CHF,TokenPay
_,CHF/JPY,Neurotoken
_,NZD/CHF,DDKoin
_,CHF/PLN,SIBCoin
_,CHF/HUF,FuzeX
_,CHF/SGD,DubaiCoin
_,CHF/HKD,Electrify.Asia
_,CHF/NOK,HitCoin
_,CHF/ZAR,Bezant
_,CHF/TRY,Delphy
_,CHF/DKK,ExclusiveCoin
_,CHF/SEK,Orbitcoin
_,CHF/CZK,Ink
_,CHF/CNY,Indorse Token
_,CHF/EUR,Ormeus Coin
_,CHF/GBP,Shorty
_,CHF/IDR,Edgeless
_,CHF/ILS,Zeusshield
_,CHF/INR,Winco
_,CHF/KRW,Hiveterminal Token
_,CHF/MXN,Hexx
_,CHF/MYR,Blockmason Credit Protocol
_,CHF/NZD,Colossuscoin V2
_,CHF/THB,Chronobank
_,CHF/TWD,Trinity Network Credit
_,CHF/USD,BitDegree
_,DKK/CHF,Bezop
_,ISK/CHF,Rentberry
_,JPY/CHF,EventChain
_,NOK/CHF,MetalCoin
_,SEK/CHF,Hacken
_,SGD/CHF,Ecobit
_,TRY/CHF,FlypMe
_,CNY/CHF,Lendingblock
_,CHF/CLP,Bullion
_,CHF/EGP,Friendz
_,CHF/ISK,Sakura Bloom
_,CHF/JMD,GoldMint
_,CHF/JOD,Blue Protocol
_,CHF/KES,MEXC Token
_,CHF/LBP,ATMChain
_,CHF/LKR,Internet of People
_,CHF/MAD,Po.et
_,CHF/NAD,BZEdge
_,CHF/NPR,X8X Token
_,CHF/OMR,HelloGold
_,CHF/PAB,HeroNode
_,CHF/PHP,Pesetacoin
_,CHF/PKR,Zennies
_,CHF/QAR,Ryo Currency
_,CHF/RON,AudioCoin
_,CHF/RUB,Merebel
_,CHF/SAR,Blocktix
_,CHF/VES,Primalbase Token
_,CHF/XAF,MintMe.com Coin
_,CHF/XCD,Scorum Coins
_,HKD/CHF,ChessCoin
_,ILS/CHF,Dropil
_,MXN/CHF,MyBit
_,PLN/CHF,Deutsche eMark
_,SAR/CHF,Maxcoin
_,TWD/CHF,CoinJanitor
_,VES/CHF,BUZZCoin
_,ZAR/CHF,Ethereum Meta
_,RUB/CHF,DreamTeam Token
_,KRW/CHF,Zeepin
_,CHF/UAH,Qbao
_,CHF/RUB,Innova
_,USD/CHF,Shadow Token
_,IDR/CHF,GoNetwork
_,CHF/RUB,ShadowCash
_,EUR/CLP,Neutron
_,GBP/CLP,Startcoin
_,USD/CLP,Synergy
_,CNY/CLP,Opus
_,CLP/KRW,SwagBucks
_,CLP/IDR,Streamity
_,DKK/CLP,Cryptonite
_,HKD/CLP,Swap
_,HUF/CLP,Fortuna
_,ILS/CLP,SHIELD
_,INR/CLP,GoByte
_,ISK/CLP,Netko
_,JPY/CLP,InsaneCoin
_,MXN/CLP,EncryptoTel [WAVES]
_,NOK/CLP,Swing
_,NZD/CLP,Digitalcoin
_,PHP/CLP,WayGuide
_,PKR/CLP,Energycoin
_,PLN/CLP,NANJCOIN
_,RUB/CLP,ION
_,SAR/CLP,Swarm City
_,SEK/CLP,Bitstar
_,SGD/CLP,Graft
_,THB/CLP,Starbase
_,TRY/CLP,OracleChain
_,TWD/CLP,Terracoin
_,VES/CLP,BlueCoin
_,ZAR/CLP,InvestFeed
_,CLP/PYG,Aston
_,CLP/UYU,Aeron
_,CLP/COP,Ellaism
_,CLP/PEN,BitTokens
_,PYG/CLP,iEthereum
_,UYU/CLP,CryptoCarbon
_,COP/CLP,2GIVE
_,PEN/CLP,Happycoin
_,CLP/MXN,Silverway
_,CLP/VES,SafeInsure
_,CLP/USD,GCN Coin
_,USD/CNH,WMCoin
_,CNY/CNH,Quantis Network
_,CNY/DKK,SproutsExtreme
_,CNY/HKD,DopeCoin
_,CNY/JPY,Aigang
_,CNY/ZAR,IslaCoin
_,DKK/CNY,Hackspace Capital
_,EUR/CNY,Jetcoin
_,GBP/CNY,Kobocoin
_,HKD/CNY,Silent Notary
_,IDR/CNY,MicroMoney
_,INR/CNY,TagCoin
_,JPY/CNY,Coin Lion
_,KRW/CNY,Pirl
_,MYR/CNY,Chronologic
_,NZD/CNY,Cobinhood
_,SGD/CNY,Tattoocoin (Standard Edition)
_,THB/CNY,Cryptojacks
_,TWD/CNY,Photon
_,USD/CNY,Motocoin
_,ZAR/CNY,SRCOIN
_,CNY/CZK,Ties.DB
_,CNY/EGP,Leadcoin
_,CNY/EUR,Nicash
_,CNY/GBP,Opal
_,CNY/HUF,ParallelCoin
_,CNY/IDR,Bitcurrency
_,CNY/ILS,AquariusCoin
_,CNY/INR,FoldingCoin
_,CNY/ISK,SkinCoin
_,CNY/JMD,Mao Zedong
_,CNY/JOD,REOSC
_,CNY/KES,imbrex
_,CNY/KRW,GINcoin
_,CNY/LBP,Bitcloud
_,CNY/LKR,Magi
_,CNY/MAD,OptiToken
_,CNY/MXN,Emerald Crypto
_,CNY/MYR,Guncoin
_,CNY/NAD,Storiqa
_,CNY/NOK,Proton Token
_,CNY/NPR,Dynamite
_,CNY/NZD,DraftCoin
_,CNY/OMR,Elacoin
_,CNY/PAB,KekCoin
_,CNY/PHP,Bitz
_,CNY/PKR,SuperCoin
_,CNY/PLN,vSlice
_,CNY/QAR,PosEx
_,CNY/RON,PoSW Coin
_,CNY/RUB,EvenCoin
_,CNY/SAR,Adzcoin
_,CNY/SEK,BitBar
_,CNY/SGD,Truegame
_,CNY/THB,Evil Coin
_,CNY/TRY,Crowd Machine
_,CNY/USD,Verify
_,CNY/VES,Worldcore
_,CNY/XAF,Nasdacoin
_,CNY/XCD,Monkey Project
_,CNY/TWD,Bata
_,ILS/CNY,KushCoin
_,MXN/CNY,Yacoin
_,NOK/CNY,PopularCoin
_,PHP/CNY,OctoCoin
_,PLN/CNY,VULCANO
_,RUB/CNY,TEAM (TokenStars)
_,SAR/CNY,Sling
_,SEK/CNY,Firecoin
_,TRY/CNY,Crave
_,VES/CNY,BitWhite
_,CNY/UAH,Litecoin Plus
_,KWD/CNY,MojoCoin
_,CNY/RUB,Rimbit
_,CNY/MNT,Mineum
_,DKK/COP,Joulecoin
_,EUR/COP,BlockCAT
_,GBP/COP,Zetacoin
_,USD/COP,Bitcoin Zero
_,PYG/COP,Franko
_,COP/PYG,Bitcoin Interest
_,UYU/COP,Bolivarcoin
_,COP/UYU,Bela
_,COP/PEN,GameBet Coin
_,PEN/COP,Ultimate Secure Cash
_,COP/MXN,Rubies
_,MXN/COP,FirstCoin
_,VES/COP,Eroscoin
_,COP/VES,Kurrent
_,COP/USD,Ratecoin
_,ILS/COP,Unitus
_,EUR/CRC,Xios
_,GBP/CRC,Prime-Ex Perpetual
_,USD/CRC,PX
_,EUR/CUP,SteepCoin
_,USD/CUP,BillaryCoin
_,EUR/CVE,Universe
_,NZD/CZK,Unify
_,DKK/CZK,GuccioneCoin
_,PLN/CZK,Privatix
_,USD/CZK,Bitcoin Red
_,CZK/HUF,Mchain
_,GBP/CZK,Coin2.1
_,CZK/JPY,Bitzeny
_,EUR/CZK,Rupee
_,CZK/SEK,BeaverCoin
_,SEK/CZK,BERNcash
_,HKD/CZK,Spots
_,ILS/CZK,Niobio Cash
_,INR/CZK,iTicoin
_,ISK/CZK,WARP
_,JPY/CZK,Universal Currency
_,MXN/CZK,LiteBar
_,NOK/CZK,ATBCoin
_,PHP/CZK,PureVidz
_,PKR/CZK,GlobalToken
_,RUB/CZK,Syndicate
_,SAR/CZK,SmartCoin
_,SGD/CZK,ELTCOIN
_,THB/CZK,Paragon
_,TRY/CZK,Miners' Reward Token
_,TWD/CZK,GoldBlocks
_,VES/CZK,Suretly
_,ZAR/CZK,Onix
_,CZK/ILS,ICOBID
_,CZK/PLN,Global Currency Reserve
_,CZK/RUB,Ethereum Cash
_,CZK/RUB,Digital Money Bits
_,EUR/DJF,Blakecoin
_,GBP/DJF,Acoin
_,USD/DJF,GlobalCoin
_,USD/DKK,Theresa May Coin
_,EUR/DKK,TrumpCoin
_,NZD/DKK,Bitradio
_,DKK/HUF,Shilling
_,DKK/PLN,PostCoin
_,DKK/SEK,Metal Music Coin
_,NOK/DKK,TEKcoin
_,DKK/JPY,Cream
_,DKK/SGD,VIP Tokens
_,DKK/ZAR,Zurcoin
_,DKK/THB,Uro
_,GBP/DKK,Atonomi
_,DKK/HKD,FuzzBalls
_,DKK/INR,Regalcoin
_,DKK/MXN,Wild Crypto
_,DKK/MYR,Debitcoin
_,DKK/NOK,MindCoin
_,DKK/PHP,Dreamcoin
_,DKK/TWD,Centurion
_,DKK/UAH,Moin
_,HKD/DKK,CryCash
_,JPY/DKK,Unrealcoin
_,MXN/DKK,XGOX
_,MYR/DKK,Signatum
_,PLN/DKK,iBTC
_,SEK/DKK,EDRCoin
_,SGD/DKK,Beatcoin
_,UAH/DKK,GeyserCoin
_,ZAR/DKK,Sativacoin
_,DKK/EGP,TOKYO
_,DKK/EUR,Influxcoin
_,DKK/GBP,Ride My Car
_,DKK/IDR,Orlycoin
_,DKK/ILS,PayCoin
_,DKK/JMD,Save and Gain
_,DKK/JOD,Jewels
_,DKK/KES,Braincoin
_,DKK/KRW,LetItRide
_,DKK/LBP,ParkByte
_,DKK/LKR,GoldPieces
_,DKK/MAD,MustangCoin
_,DKK/NAD,AmsterdamCoin
_,DKK/NPR,PayCon
_,DKK/NZD,PRiVCY
_,DKK/OMR,X-Coin
_,DKK/PAB,BitRent
_,DKK/PKR,Matchpool
_,DKK/QAR,RonPaulCoin
_,DKK/RON,MarteXcoin
_,DKK/RUB,Elementrem
_,DKK/SAR,PIECoin
_,DKK/TRY,DNotes
_,DKK/USD,ARBITRAGE
_,DKK/VES,SpreadCoin
_,DKK/XAF,Zonecoin
_,DKK/XCD,BowsCoin
_,ILS/DKK,Californium
_,INR/DKK,ARbit
_,PHP/DKK,Thore Cash
_,RUB/DKK,OsmiumCoin
